#{"t_start": 1759717273.3672361, "env_id": "CartPole-v1"}
r,l,t
13.0,13,0.413066
18.0,18,0.41764
16.0,16,0.421286
21.0,21,0.426531
16.0,16,0.430151
16.0,16,0.434032
17.0,17,0.438052
18.0,18,0.442824
14.0,14,0.446251
20.0,20,0.451361
21.0,21,0.456843
46.0,46,0.46843
12.0,12,0.471462
10.0,10,0.47405
22.0,22,0.479215
19.0,19,0.483834
10.0,10,0.486555
28.0,28,0.493152
20.0,20,0.498232
11.0,11,0.500635
14.0,14,0.504174
20.0,20,0.508749
42.0,42,0.518813
14.0,14,0.52246
24.0,24,0.528485
12.0,12,0.531389
20.0,20,0.536229
13.0,13,0.539573
12.0,12,0.542589
20.0,20,0.547656
18.0,18,0.551832
12.0,12,0.554789
12.0,12,0.55794
18.0,18,0.562563
20.0,20,0.567544
20.0,20,0.57261
42.0,42,0.582722
50.0,50,0.595108
21.0,21,0.599964
42.0,42,0.611754
12.0,12,0.614572
13.0,13,0.617802
23.0,23,0.623689
13.0,13,0.626951
17.0,17,0.630958
48.0,48,0.642972
33.0,33,0.650812
20.0,20,0.655344
20.0,20,0.660057
25.0,25,0.666323
12.0,12,0.668975
15.0,15,0.672773
27.0,27,0.679578
15.0,15,0.683059
19.0,19,0.687878
21.0,21,0.693085
20.0,20,0.698118
11.0,11,0.700549
15.0,15,0.704557
33.0,33,0.712463
29.0,29,0.719424
32.0,32,0.726549
14.0,14,0.729858
15.0,15,0.733672
32.0,32,0.741612
16.0,16,0.745585
36.0,36,0.754399
14.0,14,0.757772
13.0,13,0.760901
12.0,12,0.763536
20.0,20,0.768463
17.0,17,0.77251
25.0,25,0.777933
17.0,17,0.782154
9.0,9,0.784528
13.0,13,0.787466
19.0,19,0.791901
31.0,31,0.799366
21.0,21,0.804748
43.0,43,0.815262
10.0,10,0.817773
13.0,13,0.82065
80.0,80,0.840524
18.0,18,0.844486
45.0,45,0.855411
8.0,8,0.857458
12.0,12,0.860299
17.0,17,0.864632
14.0,14,0.867905
26.0,26,0.87455
22.0,22,0.879773
9.0,9,0.881846
20.0,20,0.886626
17.0,17,0.890437
17.0,17,0.894784
13.0,13,0.897793
11.0,11,0.900703
15.0,15,0.904376
12.0,12,0.90737
11.0,11,0.910544
102.0,102,4.368947
28.0,28,4.375234
46.0,46,4.385826
44.0,44,4.395921
26.0,26,4.401678
115.0,115,4.430751
